number,name,method,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
1,Adiac,MCB,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.46547314578005117
1,Adiac,MCB,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.45268542199488493
1,Adiac,MCB,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.49872122762148335
1,Adiac,MCB,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.46547314578005117
1,Adiac,MCB,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5319693094629157
1,Adiac,MCB,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5038363171355499
1,Adiac,MCB,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4884910485933504
1,Adiac,MCB,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5728900255754475
1,Adiac,MCB,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5524296675191815
1,Adiac,MCB,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5191815856777494
1,Adiac,MCB,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.4782608695652174
1,Adiac,MCB,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5652173913043478
1,Adiac,MCB,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5575447570332481
1,Adiac,MCB,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.6010230179028133
1,Adiac,ORI,0,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.020460358056265986
1,Adiac,ORI,1,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5575447570332481
1,Adiac,ORI,2,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.4475703324808184
1,Adiac,ORI,3,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.5166240409207161
1,Adiac,ORI,4,0,3.0,4.0,32.0,16.0,,,transformer,0.0,,,,,0.4219948849104859
1,Adiac,ORI,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.41687979539641945
1,Adiac,ORI,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4398976982097187
1,Adiac,ORI,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.3554987212276215
1,Adiac,ORI,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.48081841432225064
1,Adiac,ORI,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4117647058823529
1,Adiac,ORI,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.36061381074168797
1,Adiac,ORI,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.28388746803069054
1,Adiac,ORI,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.26342710997442453
1,Adiac,ORI,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3657289002557545
1,Adiac,ORI,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3273657289002558
1,Adiac,SAX,0,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.020460358056265986
1,Adiac,SAX,1,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.023017902813299233
1,Adiac,SAX,2,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.023017902813299233
1,Adiac,SAX,3,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.03324808184143223
1,Adiac,SAX,4,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.023017902813299233
1,Adiac,SAX,0,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.020460358056265986
1,Adiac,SAX,1,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.23017902813299232
1,Adiac,SAX,2,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.18925831202046037
1,Adiac,SAX,3,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.03324808184143223
1,Adiac,SAX,4,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.22506393861892582
1,Adiac,SAX,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.46547314578005117
1,Adiac,SAX,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4117647058823529
1,Adiac,SAX,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.47570332480818417
1,Adiac,SAX,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.47058823529411764
1,Adiac,SAX,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4475703324808184
1,Adiac,SAX,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.40153452685422
1,Adiac,SAX,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.43478260869565216
1,Adiac,SAX,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.45268542199488493
1,Adiac,SAX,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4859335038363171
1,Adiac,SAX,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4578005115089514
1,Adiac,SAX,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.1918158567774936
1,Adiac,SAX,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.1969309462915601
1,Adiac,SAX,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.20460358056265984
1,Adiac,SAX,3,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.20460358056265984
1,Adiac,SAX,4,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.20460358056265984
1,Adiac,SAX,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.23017902813299232
1,Adiac,SAX,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.1969309462915601
1,Adiac,SAX,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.18925831202046037
1,Adiac,SAX,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.22762148337595908
1,Adiac,SAX,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.2071611253196931
1,Adiac,SAX,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4475703324808184
1,Adiac,SAX,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5063938618925832
1,Adiac,SAX,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4296675191815857
1,Adiac,SAX,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.49872122762148335
1,Adiac,SAX,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4296675191815857
1,Adiac,SAX,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4040920716112532
1,Adiac,SAX,1,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4578005115089514
1,Adiac,SAX,2,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4322250639386189
1,Adiac,SAX,3,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.42455242966751916
